loan_amount,term,interest_rate,installment,grade,sub_grade,loan_status,loan_purpose,balance,paid_total,paid_principal,paid_interest,annual_income,debt_to_income,emp_length,homeownership,verified_income,state,delinq_2y,inquiries_last_12m,total_credit_lines,open_credit_lines,total_credit_limit,total_credit_utilized,credit_utilization,dti_group,income_group,problem_loan,issue_month,risk_category,issue_date
28000,60,14.07,652.53,C,C3,Current,moving,27015.86,1999.33,984.14,1015.19,90000.0,18.01,3.0,MORTGAGE,Verified,NJ,0,6,28,10,70795,38767,54.75951691503638,10-20,High,0,Mar-2018,No Current Problem,2018-03-01
5000,36,12.61,167.54,C,C1,Current,debt_consolidation,4651.37,499.12,348.63,150.49,40000.0,5.04,10.0,RENT,Not Verified,HI,0,1,30,14,28800,4321,15.003472222222221,0-10,Low,0,Feb-2018,No Current Problem,2018-02-01
2000,36,17.09,71.4,D,D1,Current,other,1824.63,281.8,175.37,106.43,40000.0,21.15,3.0,RENT,Source Verified,WI,0,4,31,10,24193,16000,66.13483238953415,20-30,Low,0,Feb-2018,No Current Problem,2018-02-01
21600,36,6.72,664.19,A,A3,Current,debt_consolidation,18853.26,3312.89,2746.74,566.15,30000.0,10.16,1.0,RENT,Not Verified,PA,0,0,4,4,25400,4997,19.673228346456693,10-20,Low,0,Jan-2018,No Current Problem,2018-01-01
23000,36,14.07,786.87,C,C3,Current,credit_card,21430.15,2324.65,1569.85,754.8,35000.0,57.96,10.0,RENT,Verified,CA,0,7,22,16,69839,52722,75.49077163189621,40+,Low,0,Mar-2018,No Current Problem,2018-03-01
5000,36,6.72,153.75,A,A3,Current,other,4256.71,873.13,743.29,129.84,34000.0,6.46,Unknown,OWN,Not Verified,KY,1,6,32,12,42100,3898,9.258907363420429,0-10,Low,0,Jan-2018,No Current Problem,2018-01-01
24000,60,13.59,553.35,C,C2,Current,credit_card,22560.0,2730.51,1440.0,1290.51,35000.0,23.66,10.0,MORTGAGE,Source Verified,MI,0,1,12,10,291852,18916,6.481367268341488,20-30,Low,0,Jan-2018,No Current Problem,2018-01-01
20000,60,11.99,444.79,B,B5,Current,debt_consolidation,19005.39,1765.84,994.61,771.23,110000.0,16.19,10.0,MORTGAGE,Source Verified,AZ,1,1,30,15,342336,60805,17.76178958683866,10-20,Very High,0,Jan-2018,No Current Problem,2018-01-01
20000,36,13.59,679.58,C,C2,Current,home_improvement,18156.66,2703.22,1843.34,859.88,65000.0,36.48,10.0,MORTGAGE,Source Verified,NV,1,3,35,21,283190,69561,24.56336735054204,30-40,Medium,0,Feb-2018,No Current Problem,2018-02-01
6400,36,6.71,196.77,A,A3,Current,credit_card,6077.13,391.15,322.87,68.28,30000.0,18.91,3.0,RENT,Not Verified,IL,0,0,9,6,33114,17768,53.65706347768315,10-20,Low,0,Mar-2018,No Current Problem,2018-03-01
25000,60,15.04,595.28,C,C4,Current,debt_consolidation,24143.51,1764.95,856.49,908.46,75000.0,10.45,10.0,MORTGAGE,Verified,IL,0,4,22,10,39433,22895,58.060507696599295,10-20,Medium,0,Mar-2018,No Current Problem,2018-03-01
40000,60,9.92,848.31,B,B2,Current,other,38434.2,2500.84,1565.8,935.04,91900.0,1.82,2.0,MORTGAGE,Source Verified,FL,0,4,26,10,450371,55939,12.420648754027235,0-10,High,0,Mar-2018,No Current Problem,2018-03-01
16000,36,13.59,543.67,C,C2,Current,debt_consolidation,14525.3,2204.88,1474.7,730.18,122000.0,12.06,5.0,MORTGAGE,Source Verified,SC,0,8,32,12,263800,43686,16.56027293404094,10-20,Very High,0,Feb-2018,No Current Problem,2018-02-01
